property_id,locality_name,postal_code,price,property_type,property_subtype,sale_type,num_rooms,living_area_sqm,equipped_kitchen,furnished,open_fire,terrace_sqm,garden_sqm,surface_of_good,num_facades,swimming_pool,building_state
213548,Brussels,1055,782778,apartment,mansion,public,8,233,1,0,1,,91.0,701,4,0,new
763192,Namur,6330,898194,apartment,penthouse,classic,9,122,1,0,1,,,114,3,0,new
883473,Antwerp,4500,792632,house,penthouse,classic,4,244,0,0,0,,,589,2,0,to renovate
460720,Brussels,9061,774121,apartment,villa,classic,7,379,1,1,1,,94.0,944,3,1,new
863578,Ghent,2925,401192,apartment,penthouse,public,3,330,1,0,0,22.0,73.0,931,2,1,good
297088,Ghent,4817,837471,apartment,mansion,public,7,185,1,0,1,44.0,,618,2,0,to renovate
781545,Namur,9914,516178,apartment,villa,classic,6,258,0,0,0,,,923,2,1,new
182106,Ghent,9297,141258,house,mansion,public,4,45,1,1,1,,,995,4,0,good
937456,Namur,3264,410727,apartment,villa,classic,5,265,0,1,1,24.0,,749,3,1,good
320067,Liege,3242,308879,house,villa,public,9,199,1,0,1,34.0,,415,4,1,good
113425,Antwerp,8122,805684,apartment,bungalow,public,6,226,0,1,1,,,532,3,1,to renovate
102089,Liege,3669,919874,apartment,bungalow,classic,7,358,1,0,0,25.0,195.0,87,2,1,new
643092,Antwerp,9835,570831,apartment,mansion,classic,7,270,0,1,1,,107.0,450,4,0,to renovate
976150,Namur,9017,255130,apartment,bungalow,public,6,57,1,1,0,12.0,161.0,851,4,0,to renovate
387641,Brussels,5664,923077,house,mansion,classic,7,178,1,0,0,36.0,,280,2,0,to renovate
848933,Ghent,4426,827841,house,bungalow,classic,2,222,1,0,0,,,988,2,0,new
465964,Brussels,7101,919716,house,villa,public,1,82,0,1,1,39.0,139.0,324,2,1,new
175927,Namur,3568,307828,apartment,villa,public,7,70,0,1,1,,,349,2,1,new
885020,Liege,2164,289817,house,mansion,public,9,88,0,0,0,24.0,284.0,243,3,1,new
818836,Namur,8925,555038,house,villa,classic,3,316,0,1,0,,162.0,598,3,1,new
876392,Liege,9999,457648,apartment,chalet,public,8,92,0,0,0,26.0,269.0,51,3,0,new
679276,Namur,5377,864984,apartment,bungalow,public,6,378,0,1,0,,,416,3,0,to renovate
156602,Liege,7538,464813,house,penthouse,classic,4,211,1,0,0,,,841,2,1,good
266089,Ghent,6797,356134,house,mansion,classic,10,363,1,0,0,45.0,59.0,524,2,0,good
965832,Liege,3150,940037,house,penthouse,public,9,259,1,1,1,,,325,3,0,good
680509,Namur,4163,327608,house,penthouse,public,4,116,0,1,0,,249.0,150,3,1,good
114119,Antwerp,5906,332307,house,mansion,public,5,46,1,0,0,,118.0,860,2,1,good
155511,Namur,1213,162419,house,villa,classic,2,286,1,1,1,11.0,138.0,884,3,1,good
605349,Liege,6029,532380,apartment,bungalow,public,8,101,1,1,0,,161.0,779,4,0,to renovate
782685,Charleroi,8890,871938,apartment,mansion,classic,8,305,0,0,1,,287.0,219,2,0,good
816187,Charleroi,7516,271924,house,mansion,public,9,136,1,0,1,15.0,288.0,634,4,1,new
384853,Ghent,3565,187033,house,mansion,public,5,323,0,0,1,,,177,4,0,good
910810,Liege,5881,564835,house,chalet,classic,5,176,0,0,1,,294.0,206,2,1,good
509563,Liege,5337,989783,house,villa,public,4,188,1,1,1,,,383,4,1,new
977475,Charleroi,2818,976454,house,bungalow,public,7,148,1,1,0,7.0,284.0,947,3,1,new
571120,Liege,2705,803578,house,villa,public,3,303,1,0,0,35.0,283.0,983,2,0,new
507943,Antwerp,9338,250741,apartment,bungalow,classic,2,306,0,1,0,,,629,3,1,to renovate
828084,Brussels,7457,567796,apartment,villa,public,5,249,0,1,1,8.0,,980,3,0,new
895670,Charleroi,8980,556573,house,penthouse,public,2,218,1,0,1,34.0,,78,2,0,new
380551,Namur,8110,476740,house,chalet,classic,6,242,0,1,1,,,911,2,0,good
595811,Brussels,4801,725543,house,penthouse,public,2,51,1,1,0,,,914,3,0,to renovate
442107,Namur,4987,887711,house,penthouse,public,1,378,0,1,0,38.0,169.0,898,2,1,to renovate
904543,Liege,1867,951200,apartment,penthouse,public,4,396,0,1,0,41.0,42.0,360,3,0,to renovate
356007,Namur,8289,343834,apartment,chalet,public,4,49,1,1,1,33.0,,460,4,1,new
532161,Brussels,9759,345063,house,chalet,classic,7,299,0,1,1,,28.0,333,4,1,good
979120,Antwerp,2567,678848,house,chalet,classic,9,220,1,0,1,30.0,,830,2,1,to renovate
699875,Antwerp,1338,398592,apartment,chalet,classic,9,316,0,0,1,23.0,231.0,880,2,0,to renovate
918381,Antwerp,6307,357293,apartment,villa,classic,4,389,0,1,1,50.0,,688,3,1,new
646939,Liege,4157,101667,house,chalet,public,3,243,0,0,1,41.0,,944,4,1,to renovate
553094,Liege,8883,634211,house,villa,public,5,250,1,1,1,27.0,21.0,577,4,1,good
187172,Charleroi,8280,743475,house,chalet,classic,2,198,0,1,0,10.0,,319,3,1,good
592979,Antwerp,4232,688476,apartment,chalet,public,2,97,1,0,0,,260.0,743,3,0,to renovate
446025,Brussels,8374,346984,house,villa,classic,4,194,1,1,1,,,442,2,0,new
874241,Charleroi,2409,774082,house,penthouse,public,10,355,0,1,0,,40.0,151,2,0,to renovate
423711,Charleroi,4478,151730,house,chalet,classic,3,384,0,1,0,37.0,,164,3,1,to renovate
570139,Brussels,7691,753553,apartment,mansion,public,3,336,1,1,1,,294.0,72,4,1,new
112656,Antwerp,5419,168841,apartment,bungalow,public,4,93,1,1,0,,,377,2,0,good
849825,Charleroi,6235,200278,house,bungalow,classic,10,368,0,0,0,,186.0,216,2,0,new
340515,Charleroi,9595,569318,house,bungalow,public,4,277,1,0,0,37.0,146.0,144,4,0,new
855861,Liege,8033,546622,apartment,villa,classic,6,347,1,1,0,37.0,285.0,778,4,0,new
446021,Brussels,9701,230381,house,mansion,public,9,166,0,0,1,9.0,,199,2,0,new
330523,Ghent,4035,315788,apartment,mansion,classic,4,206,0,1,0,45.0,47.0,328,3,1,good
415989,Namur,4794,115671,house,villa,classic,1,46,1,0,0,,,274,2,0,good
965534,Liege,3507,122882,house,bungalow,classic,4,146,0,0,1,36.0,,306,2,0,to renovate
485683,Charleroi,5206,660143,house,penthouse,classic,7,207,1,1,0,,141.0,278,3,1,new
238274,Brussels,6615,259367,apartment,chalet,classic,1,336,0,0,0,19.0,215.0,867,3,0,to renovate
752593,Antwerp,8208,950949,apartment,villa,classic,7,339,1,1,1,,51.0,722,3,0,new
657252,Liege,2579,987214,house,penthouse,public,4,171,0,0,1,26.0,234.0,193,2,1,good
215148,Ghent,5516,579745,apartment,bungalow,public,10,395,0,1,0,,215.0,79,4,0,good
238345,Ghent,4403,327013,house,villa,classic,9,184,1,1,1,,,457,2,1,good
440805,Brussels,5643,121579,house,mansion,public,5,172,1,0,1,12.0,,728,3,1,to renovate
592533,Charleroi,1866,362036,apartment,chalet,classic,5,294,0,0,1,,,536,4,1,new
867110,Brussels,4412,666186,apartment,penthouse,public,8,89,0,0,0,,,796,2,0,good
820119,Liege,8246,160509,apartment,chalet,classic,10,288,1,0,0,20.0,273.0,960,3,1,to renovate
328746,Liege,2150,302909,house,chalet,public,5,340,1,0,1,,210.0,274,4,1,new
899334,Liege,9243,914595,apartment,chalet,classic,6,392,0,0,0,6.0,261.0,221,2,1,new
480894,Brussels,3128,279514,house,penthouse,classic,3,352,1,1,0,29.0,150.0,159,3,0,to renovate
523756,Liege,4329,161378,house,mansion,public,4,384,0,0,1,50.0,,436,2,0,new
529117,Liege,1824,348886,apartment,mansion,public,6,169,0,0,0,,,603,2,1,new
963449,Namur,4359,730549,apartment,penthouse,classic,9,213,1,1,1,42.0,33.0,505,2,0,new
870905,Namur,3570,612298,house,penthouse,public,7,342,0,1,0,16.0,,635,3,0,new
375941,Antwerp,5024,732082,house,villa,classic,9,264,1,1,1,11.0,,583,2,0,to renovate
931393,Ghent,7330,967657,apartment,bungalow,public,5,105,0,0,1,,,731,4,0,good
406557,Charleroi,4402,555151,house,villa,classic,7,129,1,1,0,32.0,,870,2,0,good
282269,Charleroi,9942,254023,house,villa,classic,8,138,0,0,0,,,354,4,1,to renovate
596529,Liege,9114,892933,house,villa,public,8,368,1,0,1,36.0,66.0,154,4,1,to renovate
286939,Ghent,8907,109642,apartment,villa,public,2,64,0,0,1,43.0,255.0,572,3,1,new
945036,Brussels,4606,938385,house,chalet,public,5,231,0,1,1,38.0,,856,2,1,good
450827,Liege,2831,567325,apartment,bungalow,classic,1,225,0,1,0,,276.0,568,2,0,to renovate
677477,Ghent,2313,973870,house,villa,classic,9,325,1,0,1,,,884,3,1,to renovate
652472,Ghent,1011,650926,house,villa,classic,10,63,0,0,0,40.0,148.0,457,3,0,good
262541,Ghent,2352,436646,house,bungalow,classic,8,370,0,1,0,24.0,39.0,286,2,0,new
932989,Brussels,5141,142198,house,bungalow,public,8,387,0,0,1,42.0,14.0,203,2,0,good
925045,Ghent,2885,579542,house,mansion,public,5,286,0,0,0,23.0,54.0,329,3,1,new
967627,Liege,7473,643288,house,penthouse,public,1,87,0,1,1,10.0,,950,2,1,good
442516,Liege,5438,333408,house,chalet,classic,8,382,1,1,0,41.0,,848,3,0,to renovate
919537,Namur,8859,877516,house,penthouse,public,6,194,0,1,0,12.0,,50,3,1,to renovate
799145,Liege,5441,160955,house,villa,classic,10,105,0,1,0,44.0,45.0,877,2,1,to renovate
261165,Namur,7925,848126,apartment,mansion,public,2,148,0,1,1,45.0,39.0,839,3,1,new
870357,Charleroi,9545,955239,house,villa,classic,7,263,0,0,0,11.0,,176,2,0,good
281649,Brussels,5440,154607,apartment,mansion,public,6,95,0,1,1,7.0,,953,3,0,to renovate
695399,Ghent,5244,146827,apartment,chalet,classic,2,257,0,0,1,,175.0,162,2,1,to renovate
445233,Namur,9206,747364,house,villa,public,9,162,1,0,0,49.0,,996,2,1,to renovate
981430,Charleroi,7557,610283,house,chalet,public,4,194,0,1,0,11.0,,824,4,1,new
929263,Liege,2675,900569,house,villa,public,6,298,0,1,0,,171.0,240,4,0,to renovate
978174,Charleroi,1275,613924,house,chalet,public,7,221,0,0,0,5.0,,528,4,1,good
719932,Ghent,9078,361585,apartment,mansion,classic,4,389,0,0,1,19.0,,684,4,1,to renovate
257655,Brussels,9199,553226,house,chalet,classic,8,314,1,1,0,,,905,4,0,new
148882,Ghent,2698,507917,house,villa,public,10,79,0,0,1,,,985,4,0,new
759906,Brussels,2885,919149,apartment,villa,public,5,267,0,0,1,,250.0,377,4,0,good
152304,Brussels,9083,218240,house,villa,classic,6,384,0,1,1,37.0,28.0,462,3,1,to renovate
638605,Liege,6238,658896,apartment,penthouse,public,7,257,1,1,1,33.0,,700,3,1,good
912551,Liege,4776,965080,apartment,penthouse,public,8,55,0,1,1,,,109,3,0,good
553176,Liege,4634,943462,apartment,bungalow,classic,8,326,0,1,0,,,919,4,0,good
104089,Ghent,2164,557812,apartment,chalet,public,5,273,0,1,1,,,689,3,1,good
771519,Namur,7232,743318,apartment,penthouse,classic,3,148,0,0,0,,32.0,464,2,0,to renovate
644353,Brussels,8585,699763,house,mansion,public,4,394,1,0,1,9.0,,459,4,1,to renovate
730527,Antwerp,3829,742867,apartment,villa,classic,10,98,1,0,0,7.0,,413,3,1,new
257797,Brussels,3484,228662,house,mansion,public,5,397,1,0,1,17.0,78.0,544,2,0,to renovate
275208,Charleroi,3367,750158,house,chalet,classic,3,153,0,1,1,40.0,,476,2,0,new
812430,Namur,6285,833725,apartment,villa,public,2,129,0,1,1,,253.0,715,4,0,new
351388,Ghent,4296,910979,apartment,chalet,classic,7,198,1,0,1,8.0,,769,3,0,good
308578,Charleroi,2682,744880,house,villa,public,4,328,0,1,1,9.0,227.0,525,2,0,new
988558,Liege,8319,255222,apartment,bungalow,public,3,88,1,0,1,12.0,,911,3,1,new
484780,Charleroi,2271,670092,apartment,mansion,public,5,333,1,1,1,,221.0,596,4,0,to renovate
387138,Namur,1135,248519,apartment,chalet,public,3,383,1,0,1,46.0,,765,2,1,new
288378,Namur,4081,539551,house,mansion,classic,7,55,1,0,1,,,293,3,1,new
885633,Charleroi,2104,254683,apartment,mansion,classic,2,389,1,1,1,48.0,,559,2,1,good
760533,Ghent,9484,921190,house,mansion,public,3,94,0,1,0,,204.0,205,2,1,new
305623,Liege,9735,319260,house,bungalow,public,1,142,0,1,1,,234.0,55,4,0,to renovate
689141,Ghent,8883,666634,apartment,chalet,public,3,386,1,0,0,28.0,,277,3,0,good
551381,Charleroi,8062,434988,house,villa,classic,9,320,0,1,1,,,569,2,1,to renovate
757219,Antwerp,1806,691356,house,penthouse,classic,1,360,1,0,1,13.0,,356,2,1,good
730503,Namur,4104,186545,apartment,chalet,public,8,116,1,0,0,,,248,4,0,to renovate
182856,Namur,6650,347118,apartment,mansion,public,1,397,0,0,1,17.0,274.0,956,4,1,to renovate
160577,Ghent,2130,526399,apartment,villa,classic,10,160,1,1,0,,,136,4,0,good
955663,Ghent,7404,402900,house,chalet,classic,2,335,0,0,0,,,349,2,1,new
274159,Liege,7060,372611,apartment,penthouse,classic,4,55,0,0,1,,,783,2,1,to renovate
521070,Charleroi,9091,359728,house,mansion,public,8,254,1,0,0,,,769,2,0,to renovate
528284,Liege,6125,993399,house,mansion,public,3,84,0,0,1,6.0,,337,4,0,to renovate
461510,Namur,8103,892447,house,chalet,public,8,110,0,0,0,,224.0,805,3,0,good
994356,Antwerp,8250,646169,house,villa,public,8,69,1,0,1,37.0,,50,2,1,to renovate
190199,Namur,3043,982003,apartment,mansion,public,6,68,1,1,0,17.0,,178,3,0,new
348811,Namur,4993,492385,house,penthouse,classic,10,195,1,1,1,,66.0,995,2,1,to renovate
927729,Antwerp,2243,584775,apartment,bungalow,classic,8,82,1,0,0,49.0,,579,3,0,to renovate
420158,Charleroi,6702,369494,apartment,villa,public,7,84,1,1,0,,,750,4,1,good
551697,Brussels,4108,518405,house,chalet,classic,10,298,0,1,0,40.0,232.0,102,3,1,to renovate
462723,Ghent,1931,540812,apartment,chalet,public,10,93,1,0,0,,94.0,136,4,0,new
715868,Ghent,2727,679979,apartment,mansion,public,3,94,0,0,0,,,903,2,1,to renovate
505744,Charleroi,5596,309359,apartment,bungalow,public,6,215,0,1,0,34.0,276.0,910,2,1,new
335589,Antwerp,5224,968905,apartment,chalet,public,3,361,0,1,0,,156.0,867,2,0,to renovate
771912,Charleroi,6656,380315,house,mansion,public,9,310,0,1,1,12.0,204.0,128,4,1,good
591719,Brussels,8796,217094,apartment,chalet,public,9,268,1,0,1,,,188,3,1,good
981917,Charleroi,8676,724871,house,penthouse,classic,7,314,0,1,0,,280.0,326,2,0,new
300357,Charleroi,2851,393262,house,chalet,classic,1,352,1,1,0,,286.0,921,4,0,new
694666,Antwerp,7188,750727,apartment,chalet,classic,9,299,1,0,0,,287.0,258,3,1,to renovate
438089,Namur,6856,502146,apartment,chalet,public,3,218,1,0,0,34.0,,221,3,0,new
106375,Ghent,3392,799369,apartment,bungalow,public,1,153,0,0,0,32.0,148.0,649,2,0,good
509163,Liege,8968,955764,house,chalet,classic,3,249,1,0,1,,78.0,514,3,1,good
513924,Liege,6312,614990,house,villa,public,8,206,1,0,1,18.0,,601,4,1,new
129449,Liege,8936,508179,apartment,chalet,classic,7,342,1,1,1,,,836,3,1,good
219372,Liege,4470,728738,apartment,chalet,classic,2,347,0,0,0,7.0,46.0,648,3,1,to renovate
801243,Brussels,1663,389910,house,villa,classic,9,185,0,0,0,6.0,273.0,254,4,1,new
312809,Antwerp,9393,745950,apartment,mansion,classic,7,303,0,0,0,,117.0,406,4,0,good
229741,Antwerp,4605,863967,apartment,mansion,classic,9,105,1,1,1,,220.0,533,3,1,good
155801,Liege,4729,125622,house,bungalow,classic,5,300,1,0,0,,,461,3,0,to renovate
888103,Liege,5161,826147,house,chalet,public,3,247,0,0,0,39.0,,682,3,1,new
148564,Antwerp,6666,323854,apartment,chalet,classic,1,251,0,1,1,24.0,,307,2,0,to renovate
772648,Antwerp,1346,118731,house,villa,public,9,229,0,1,1,,,692,2,0,new
423996,Ghent,1578,993411,house,chalet,public,8,43,0,1,0,,,570,2,0,to renovate
629364,Brussels,2978,723496,house,villa,public,9,192,1,1,1,,107.0,250,3,1,to renovate
407737,Brussels,3380,635263,apartment,mansion,classic,4,242,1,0,1,13.0,201.0,861,3,0,to renovate
693856,Namur,8893,329303,apartment,chalet,public,2,397,0,1,0,18.0,,940,2,0,to renovate
985563,Antwerp,4548,135506,apartment,mansion,classic,5,298,1,1,1,21.0,106.0,876,2,1,good
190576,Liege,9423,104202,apartment,penthouse,public,9,71,0,0,0,29.0,,930,3,0,new
150819,Ghent,8043,818101,house,bungalow,public,3,85,0,0,0,,,736,3,0,good
245071,Ghent,5523,121082,house,villa,classic,4,203,0,1,0,21.0,287.0,277,4,0,to renovate
217674,Charleroi,7989,450968,apartment,mansion,public,7,52,1,0,0,,,113,4,1,to renovate
189408,Liege,9003,468525,apartment,penthouse,public,3,379,0,0,1,6.0,165.0,601,2,0,to renovate
199169,Liege,2764,759730,apartment,mansion,classic,9,89,0,1,1,,,968,3,0,to renovate
257557,Liege,9948,764385,house,chalet,classic,5,48,0,0,1,32.0,278.0,447,3,0,new
162985,Brussels,8688,529935,house,villa,classic,8,236,1,1,0,,10.0,948,4,0,new
957344,Namur,9840,274274,apartment,mansion,classic,8,118,1,1,1,,77.0,617,4,0,good
504333,Ghent,3266,620730,house,mansion,classic,8,191,0,1,1,29.0,229.0,476,4,0,new
894369,Antwerp,6965,648550,house,chalet,classic,1,288,1,0,1,,,480,4,0,to renovate
149282,Charleroi,8219,851359,house,villa,public,5,275,0,0,1,34.0,,540,3,1,to renovate
428321,Ghent,9986,342517,house,mansion,public,8,91,0,0,1,,31.0,909,4,0,to renovate
458713,Liege,7848,479639,apartment,villa,classic,2,324,1,1,1,,,599,4,1,new
178112,Ghent,3297,867564,apartment,penthouse,public,9,78,0,0,1,39.0,272.0,931,2,1,good
413860,Brussels,5788,235600,apartment,penthouse,public,6,344,1,1,1,,275.0,819,2,0,new
324901,Liege,2129,477118,house,bungalow,public,9,217,1,1,1,,,399,4,1,to renovate
296499,Namur,3493,388008,apartment,chalet,classic,8,328,0,0,0,,,230,3,0,new
927338,Charleroi,6399,539994,house,penthouse,public,8,379,0,0,0,,,751,2,0,new
758346,Brussels,2539,202390,house,penthouse,public,10,159,0,1,0,46.0,,797,2,0,to renovate
963329,Charleroi,1497,860191,apartment,mansion,classic,7,194,1,0,0,,,343,4,1,new
575569,Namur,2293,752388,apartment,mansion,public,1,224,0,1,1,,103.0,228,2,1,good
853722,Antwerp,3270,957827,apartment,bungalow,classic,10,399,1,0,0,16.0,,895,3,1,new
615915,Ghent,6586,149943,apartment,mansion,classic,2,94,0,0,0,50.0,,243,2,0,to renovate
328261,Brussels,3418,260303,apartment,bungalow,public,3,117,0,0,0,12.0,,154,2,1,new
668530,Namur,8408,146541,apartment,penthouse,classic,2,51,0,0,1,,295.0,277,4,1,new
683864,Liege,6688,336607,apartment,chalet,classic,1,141,0,0,1,,236.0,594,2,0,to renovate
250787,Brussels,9222,968753,apartment,chalet,public,9,184,1,0,0,,,300,2,1,good
370562,Charleroi,8993,260765,apartment,bungalow,classic,10,106,1,1,0,6.0,,144,4,1,new
443272,Antwerp,1900,543650,apartment,mansion,public,1,389,1,1,0,,,603,2,1,good
528387,Ghent,2044,583696,apartment,bungalow,classic,8,342,1,1,1,,219.0,910,4,1,new
740748,Namur,8606,677107,apartment,bungalow,public,7,182,0,0,1,,,542,2,1,good
748986,Antwerp,5406,299929,apartment,penthouse,public,8,111,1,1,0,,,397,2,0,good
906322,Brussels,8821,420771,house,villa,classic,10,389,0,1,0,,101.0,86,2,0,to renovate
682207,Liege,1113,594969,apartment,villa,classic,4,397,0,0,0,14.0,290.0,784,4,0,good
833264,Liege,4512,656337,house,bungalow,classic,10,75,0,1,0,,128.0,814,2,0,new
657391,Namur,5788,272993,apartment,chalet,public,6,158,0,0,1,27.0,282.0,347,3,0,to renovate
722938,Namur,1878,150102,apartment,chalet,classic,8,187,0,0,1,,,87,4,0,to renovate
445543,Charleroi,9867,983525,apartment,mansion,classic,1,89,1,0,0,47.0,,899,3,0,good
249155,Brussels,2174,884603,house,penthouse,public,3,349,1,0,0,30.0,142.0,844,3,1,to renovate
120229,Antwerp,5850,384203,house,villa,classic,6,363,1,1,0,,,283,4,0,good
366270,Antwerp,3493,453050,apartment,villa,public,1,194,1,0,0,15.0,,147,2,1,good
457959,Antwerp,5612,464417,house,chalet,public,1,296,1,0,1,,,418,3,1,new
349494,Liege,4452,657804,apartment,villa,public,5,374,0,1,0,5.0,188.0,114,2,1,good
628547,Liege,5669,748966,apartment,bungalow,public,7,291,0,0,1,,203.0,455,3,1,to renovate
737511,Antwerp,4867,820332,house,penthouse,public,5,139,1,1,1,29.0,,992,4,0,good
257010,Brussels,9147,475014,house,chalet,classic,4,142,0,0,0,,,379,4,0,good
497179,Ghent,3182,368905,apartment,chalet,classic,3,142,0,0,0,,,493,3,0,good
638869,Ghent,7602,366286,apartment,chalet,public,10,107,1,1,0,,114.0,98,3,1,good
909119,Charleroi,1092,264740,house,villa,public,10,208,0,0,0,,297.0,758,4,1,to renovate
249050,Liege,6380,328074,house,bungalow,public,10,141,1,1,0,28.0,73.0,870,4,0,good
576798,Charleroi,6409,533215,house,chalet,public,2,254,0,0,1,30.0,15.0,929,4,0,new
392702,Brussels,3552,904359,house,mansion,classic,6,296,0,0,1,28.0,,384,3,0,new
752631,Charleroi,3830,332167,house,penthouse,public,2,368,1,1,0,11.0,203.0,916,4,1,new
242309,Antwerp,3740,146067,apartment,penthouse,classic,9,400,1,0,1,,182.0,575,3,0,to renovate
898113,Charleroi,5778,828135,apartment,mansion,classic,8,133,1,0,1,,201.0,73,4,1,good
673015,Ghent,2558,323061,apartment,villa,public,6,257,0,1,1,30.0,293.0,740,4,0,new
383515,Ghent,9048,336780,apartment,mansion,public,2,220,1,0,0,,99.0,403,3,0,to renovate
229924,Charleroi,9073,888378,house,chalet,public,4,192,0,1,1,29.0,99.0,166,3,1,to renovate
994375,Antwerp,2725,637651,house,bungalow,public,4,332,1,1,0,,255.0,278,2,1,good
676488,Antwerp,7551,122697,apartment,chalet,public,3,108,0,0,0,,,186,4,1,good
878194,Liege,5829,533154,house,bungalow,public,8,381,0,0,1,8.0,,866,2,0,good
405510,Liege,8599,699890,house,mansion,classic,9,274,1,1,1,,295.0,547,2,1,new
902051,Brussels,9359,672790,apartment,mansion,public,2,287,1,0,1,,,865,3,0,good
532317,Antwerp,2281,904322,apartment,villa,public,10,173,1,0,0,,,568,4,0,to renovate
572110,Charleroi,5544,678166,house,penthouse,public,7,307,0,0,0,,243.0,514,3,1,good
358426,Antwerp,2430,335109,house,villa,public,8,210,1,0,0,31.0,245.0,571,3,0,new
114853,Liege,9148,300047,house,chalet,public,1,117,0,1,0,13.0,,107,3,0,to renovate
930239,Antwerp,2138,428497,house,mansion,classic,8,94,0,0,0,9.0,,457,2,0,to renovate
517135,Antwerp,2455,839607,house,mansion,public,9,222,1,1,1,,,675,3,1,good
735947,Liege,8649,320541,apartment,penthouse,classic,8,369,0,0,1,10.0,27.0,124,3,0,good
568234,Antwerp,7931,212020,house,chalet,classic,9,281,1,1,0,,99.0,737,3,1,to renovate
232041,Ghent,5406,386187,apartment,villa,public,3,390,0,1,1,40.0,,654,2,1,to renovate
416880,Liege,9866,830708,house,penthouse,classic,1,57,1,0,0,,,280,2,0,to renovate
749193,Liege,2466,499219,apartment,penthouse,public,10,175,1,1,1,36.0,82.0,420,4,0,to renovate
244029,Namur,9702,535466,house,mansion,public,4,211,1,1,0,,,920,4,1,good
417699,Antwerp,1507,986336,apartment,bungalow,public,8,363,1,1,0,,,75,4,1,to renovate
863557,Brussels,1540,624515,house,mansion,public,10,391,0,0,1,,78.0,486,4,0,new
177903,Ghent,7147,707062,house,penthouse,public,9,329,0,1,1,,51.0,886,4,1,to renovate
797815,Antwerp,9002,769467,apartment,penthouse,public,3,240,0,1,1,,212.0,836,2,1,good
278086,Ghent,5869,598995,house,chalet,public,4,162,1,0,0,,25.0,658,2,1,good
213842,Ghent,7580,373665,house,penthouse,public,2,113,0,0,0,,,256,2,0,good
380154,Ghent,5367,505272,house,chalet,public,6,264,1,0,0,7.0,173.0,635,2,1,to renovate
336975,Antwerp,6934,558226,apartment,penthouse,classic,10,286,0,1,1,,256.0,684,4,1,new
472353,Antwerp,8448,615223,house,penthouse,public,5,225,0,1,1,44.0,58.0,122,2,0,good
922826,Liege,9600,389033,apartment,mansion,public,3,360,1,0,1,,,173,3,0,to renovate
